Trap_Number,Year,Month,Range_Begin,Range_End,Collection_Date,Group,Biomass,Biomass_Total,Percent_Biomass,Individual_Count,Count_Total
5,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.38,28.74,1.33,118,4144
5,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,1.15,28.74,3.99,91,4144
5,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,0.86,28.74,2.99,90,4144
6,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,8.85,38.28,23.11,2074,8979
6,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,18.14,38.28,47.39,4988,8979
6,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,5.35,38.28,13.98,257,8979
6,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,1.84,38.28,4.81,774,8979
6,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,2,38.28,5.21,627,8979
6,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,2.1,38.28,5.49,259,8979
7,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,4.15,11.95,34.73,853,2262
7,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,3.57,11.95,29.85,1049,2262
7,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,1.26,11.95,10.56,78,2262
7,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.34,11.95,2.87,104,2262
7,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,1.56,11.95,13.1,88,2262
7,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,1.06,11.95,8.89,90,2262
8,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,1.97,9.05,21.79,224,1420
8,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,2.01,9.05,22.22,590,1420
8,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,3.05,9.05,33.69,184,1420
8,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.36,9.05,4,185,1420
8,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,1.45,9.05,16.03,153,1420
8,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,0.21,9.05,2.28,84,1420
9,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,4,11.35,35.23,673,2166
9,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,2.67,11.35,23.57,988,2166
9,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,2.36,11.35,20.75,157,2166
9,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.38,11.35,3.37,99,2166
9,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,1.38,11.35,12.16,202,2166
9,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,0.56,11.35,4.93,47,2166
10,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,4.82,12.91,37.35,290,1553
10,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,3.52,12.91,27.23,883,1553
10,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,2.58,12.91,20.01,79,1553
10,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.36,12.91,2.79,151,1553
10,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,1.29,12.91,9.96,51,1553
10,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,0.34,12.91,2.65,99,1553
11,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,0.04,1.6,2.31,20,420
11,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,0.33,1.6,20.88,128,420
11,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,0.76,1.6,47.5,34,420
11,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.04,1.6,2.5,48,420
11,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,0.33,1.6,20.75,15,420
11,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,0.1,1.6,6.06,175,420
12,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,2.4,6.82,35.28,720,1567
12,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,1.95,6.82,28.65,460,1567
12,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,1.81,6.82,26.63,246,1567
12,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.12,6.82,1.79,58,1567
12,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,0.19,6.82,2.79,42,1567
12,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,0.33,6.82,4.86,41,1567
13,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,3.06,13.22,23.15,991,2908
13,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,2.21,13.22,16.72,554,2908
13,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,5.69,13.22,43.06,771,2908
13,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.2,13.22,1.48,110,2908
13,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,0.78,13.22,5.91,273,2908
13,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,1.28,13.22,9.68,209,2908
14,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,4.46,16.75,26.63,858,3466
14,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,6.56,16.75,39.15,2108,3466
14,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,4.37,16.75,26.07,196,3466
14,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.28,16.75,1.65,104,3466
14,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,0.62,16.75,3.72,102,3466
14,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,0.47,16.75,2.78,98,3466
15,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hymenoptera,0.4,3.72,10.77,95,545
15,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Diptera,0.5,3.72,13.41,211,545
15,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Lepidoptera,0.87,3.72,23.4,57,545
15,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Hemiptera,0.43,3.72,11.61,124,545
15,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Coleoptera,0.64,3.72,17.09,26,545
15,2018,(July 6 - 20),2018-07-06,2018-07-20,20/07/2018,Other,0.88,3.72,23.72,32,545
1,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,1,3.65,27.51,153,937
1,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,0.74,3.65,20.2,580,937
1,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,1.52,3.65,41.76,114,937
1,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.04,3.65,1.12,24,937
1,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.3,3.65,8.33,24,937
1,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,0.04,3.65,1.07,42,937
3,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,0.31,0.9,34.08,52,154
3,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,0.01,0.9,1.56,24,154
3,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,0.18,0.9,20.16,19,154
3,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.04,0.9,5.01,7,154
3,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.21,0.9,23.05,12,154
3,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,0.14,0.9,16.15,40,154
4,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,3.36,5.88,57.07,125,713
4,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,0.83,5.88,14.05,242,713
4,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,0.5,5.88,8.59,34,713
4,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.1,5.88,1.68,60,713
4,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.76,5.88,12.89,198,713
4,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,0.34,5.88,5.73,54,713
5,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,2.27,16.06,14.12,2116,4631
5,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,3.27,16.06,20.36,1720,4631
5,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,8.44,16.06,52.58,510,4631
5,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.66,16.06,4.13,130,4631
5,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.45,16.06,2.83,46,4631
5,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,0.96,16.06,5.98,109,4631
6,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,10.7,38.01,28.16,937,5659
6,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,17.11,38.01,45.02,3266,5659
6,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,4.62,38.01,12.14,345,5659
6,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,1.54,38.01,4.05,521,5659
6,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,1.45,38.01,3.82,339,5659
6,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,2.59,38.01,6.81,251,5659
7,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,1.96,6.55,29.88,872,1513
7,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,1.52,6.55,23.21,383,1513
7,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,1.21,6.55,18.46,87,1513
7,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.26,6.55,3.89,62,1513
7,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.49,6.55,7.54,57,1513
7,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,1.11,6.55,17.01,52,1513
8,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,1.17,7.42,15.83,258,1279
8,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,1.89,7.42,25.47,538,1279
8,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,2.87,7.42,38.69,154,1279
8,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.39,7.42,5.23,170,1279
8,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.88,7.42,11.82,122,1279
8,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,0.22,7.42,2.97,37,1279
9,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,2.21,7.97,27.77,745,1569
9,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,1.19,7.97,14.87,415,1569
9,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,2.97,7.97,37.19,253,1569
9,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.28,7.97,3.57,50,1569
9,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.29,7.97,3.66,42,1569
9,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,1.03,7.97,12.93,64,1569
10,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,0.98,4.35,22.39,521,1091
10,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,0.67,4.35,15.39,314,1091
10,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,1.27,4.35,29.17,61,1091
10,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.48,4.35,10.91,91,1091
10,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.86,4.35,19.68,47,1091
10,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,0.11,4.35,2.46,57,1091
11,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,0.09,1.31,6.48,32,626
11,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,0.26,1.31,19.6,404,626
11,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,0.36,1.31,27.61,32,626
11,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.08,1.31,6.33,50,626
11,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.05,1.31,3.66,9,626
11,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,0.48,1.31,36.31,99,626
12,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,1.31,3.34,39.28,454,979
12,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,0.58,3.34,17.22,266,979
12,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,1.12,3.34,33.5,138,979
12,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.11,3.34,3.26,48,979
12,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.11,3.34,3.2,33,979
12,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,0.12,3.34,3.53,40,979
13,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,3.31,13.88,23.87,671,2111
13,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,2.11,13.88,15.21,429,2111
13,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,6.97,13.88,50.22,659,2111
13,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.29,13.88,2.07,68,2111
13,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.46,13.88,3.34,134,2111
13,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,0.74,13.88,5.3,150,2111
14,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,3.38,12.18,27.74,1307,3190
14,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,4.83,12.18,39.64,1161,3190
14,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,2.28,12.18,18.71,149,3190
14,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.85,12.18,7.01,141,3190
14,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.43,12.18,3.56,81,3190
14,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,0.41,12.18,3.35,351,3190
15,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hymenoptera,0.6,1.43,42.01,37,115
15,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Diptera,0.23,1.43,16.2,31,115
15,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Lepidoptera,0.05,1.43,3.65,9,115
15,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Hemiptera,0.04,1.43,2.59,16,115
15,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Coleoptera,0.02,1.43,1.19,4,115
15,2018,(July 21 - Aug 3),2018-07-21,2018-08-03,03/08/2018,Other,0.49,1.43,34.36,18,115
1,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hymenoptera,0.23,1.71,13.48,121,567
1,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Diptera,0.34,1.71,19.93,289,567
1,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Lepidoptera,0.99,1.71,58.09,54,567
1,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hemiptera,0.06,1.71,3.75,30,567
1,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Coleoptera,0.05,1.71,2.93,5,567
1,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Other,0.03,1.71,1.82,68,567
2,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hymenoptera,0.19,1.22,15.89,79,219
2,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Diptera,0.3,1.22,24.32,55,219
2,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Lepidoptera,0.59,1.22,48.65,33,219
2,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hemiptera,0.06,1.22,4.91,13,219
2,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Coleoptera,0,1.22,0,0,219
2,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Other,0.08,1.22,6.22,39,219
3,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hymenoptera,0.16,0.59,27.1,28,111
3,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Diptera,0.04,0.59,7.58,15,111
3,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Lepidoptera,0.2,0.59,33.84,15,111
3,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hemiptera,0.02,0.59,3.2,13,111
3,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Coleoptera,0.1,0.59,17.51,11,111
3,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Other,0.06,0.59,10.77,29,111
4,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hymenoptera,0.67,2.29,29.2,151,616
4,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Diptera,0.46,2.29,19.99,254,616
4,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Lepidoptera,0.32,2.29,13.88,15,616
4,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hemiptera,0.1,2.29,4.23,49,616
4,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Coleoptera,0.19,2.29,8.16,77,616
4,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Other,0.56,2.29,24.53,70,616
5,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hymenoptera,1.29,9.32,13.89,1494,3530
5,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Diptera,1.31,9.32,14.09,1690,3530
5,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Lepidoptera,5.31,9.32,56.91,168,3530
5,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hemiptera,0.5,9.32,5.42,104,3530
5,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Coleoptera,0.02,9.32,0.25,10,3530
5,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Other,0.88,9.32,9.44,64,3530
6,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hymenoptera,5.71,20.68,27.62,1692,4997
6,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Diptera,7.26,20.68,35.11,2267,4997
6,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Lepidoptera,4.7,20.68,22.75,211,4997
6,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hemiptera,1.2,20.68,5.82,572,4997
6,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Coleoptera,0.29,20.68,1.39,103,4997
6,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Other,1.51,20.68,7.32,152,4997
7,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hymenoptera,1.69,4.45,37.93,855,1409
7,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Diptera,1.07,4.45,24.09,313,1409
7,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Lepidoptera,0.96,4.45,21.57,37,1409
7,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hemiptera,0.13,4.45,2.94,70,1409
7,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Coleoptera,0.23,4.45,5.19,33,1409
7,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Other,0.37,4.45,8.27,101,1409
8,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hymenoptera,1.1,4.47,24.58,288,1043
8,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Diptera,2.08,4.47,46.49,456,1043
8,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Lepidoptera,0.46,4.47,10.33,42,1043
8,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hemiptera,0.35,4.47,7.92,169,1043
8,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Coleoptera,0.27,4.47,6.08,56,1043
8,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Other,0.21,4.47,4.61,32,1043
9,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hymenoptera,1.2,8.52,14.02,454,1050
9,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Diptera,2.54,8.52,29.85,294,1050
9,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Lepidoptera,2.53,8.52,29.69,117,1050
9,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hemiptera,0.17,8.52,1.98,42,1050
9,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Coleoptera,0.61,8.52,7.18,28,1050
9,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Other,1.47,8.52,17.27,115,1050
10,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hymenoptera,0.58,3.13,18.54,308,963
10,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Diptera,0.5,3.13,15.92,222,963
10,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Lepidoptera,1.13,3.13,36.18,44,963
10,2018,(Aug 4 - 17),2018-08-04,2018-08-17,17/08/2018,Hemiptera,0.33,3.13,10.58,117,963
